Afar	Qafár af	aa
Abkhazian	Аҧсшәа	ab
Acehnese	Acèh	ace
Adyghe	адыгабзэ	ady
Afrikaans	Afrikaans	af
Akan	Akan	ak
Alemannic	Alemannisch	als
Amharic	አማርኛ	am
Aragonese	aragonés	an
Anglo-Saxon	Ænglisc	ang
Arabic	العربية	ar
Aramaic	ܐܪܡܝܐ	arc
Egyptian Arabic	مصرى	arz
Assamese	অসমীয়া	as
Asturian	asturianu	ast
Avar	авар	av
Aymara	Aymar aru	ay
Azerbaijani	azərbaycanca	az
Southern Azerbaijani	تۆرکجه	azb
Bashkir	башҡортса	ba
Bavarian	Boarisch	bar
Samogitian	žemaitėška	bat-smg
Central Bicolano	Bikol Central	bcl
Belarusian	беларуская	be
Belarusian (Taraškievica)	беларуская (тарашкевіца)‎	be-tarask
Bulgarian	български	bg
Bihari	भोजपुरी	bh
Bislama	Bislama	bi
Banjar	Bahasa Banjar	bjn
Bambara	bamanankan	bm
Bengali	বাংলা	bn
Tibetan	བོད་ཡིག	bo
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy
Breton	brezhoneg	br
Bosnian	bosanski	bs
Buginese	ᨅᨔ ᨕᨘᨁᨗ	bug
Buryat	буряад	bxr
Catalan	català	ca
Chavacano	Chavacano de Zamboanga	cbk-zam
Min Dong	Mìng-dĕ̤ng-ngṳ̄	cdo
Chechen	нохчийн	ce
Cebuano	Cebuano	ceb
Chamorro	Chamoru	ch
Choctaw	Choctaw	cho
Cherokee	ᏣᎳᎩ	chr
Cheyenne	Tsetsêhestâhese	chy
Kurdish (Sorani)	کوردیی ناوەندی	ckb
Corsican	corsu	co
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr
Crimean Tatar	qırımtatarca	crh
Czech	čeština	cs
Kashubian	kaszëbsczi	csb
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu
Chuvash	Чӑвашла	cv
Welsh	Cymraeg	cy
Danish	dansk	da
German	Deutsch	de
Zazaki	Zazaki	diq
Lower Sorbian	dolnoserbski	dsb
Divehi	ދިވެހިބަސް	dv
Dzongkha	ཇོང་ཁ	dz
Ewe	eʋegbe	ee
Greek	Ελληνικά	el
Emilian-Romagnol	emiliàn e rumagnòl	eml
English	English	en
Esperanto	Esperanto	eo
Spanish	español	es
Estonian	eesti	et
Basque	euskara	eu
Extremaduran	estremeñu	ext
Persian	فارسی	fa
Fula	Fulfulde	ff
Finnish	suomi	fi
Võro	Võro	fiu-vro
Fijian	Na Vosa Vakaviti	fj
Faroese	føroyskt	fo
French	français	fr
Franco-Provençal	arpetan	frp
North Frisian	Nordfriisk	frr
Friulian	furlan	fur
West Frisian	Frysk	fy
Irish	Gaeilge	ga
Gagauz	Gagauz	gag
Gan	贛語	gan
Scottish Gaelic	Gàidhlig	gd
Galician	galego	gl
Gilaki	گیلکی	glk
Guarani	Avañe'ẽ	gn
Goan Konkani	गोंयची कोंकणी / Gõychi Konknni	gom
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got
Gujarati	ગુજરાતી	gu
Manx	Gaelg	gv
Hausa	Hausa	ha
Hakka	客家語/Hak-kâ-ngî	hak
Hawaiian	Hawaiʻi	haw
Hebrew	עברית	he
Hindi	हिन्दी	hi
Fiji Hindi	Fiji Hindi	hif
Hiri Motu	Hiri Motu	ho
Croatian	hrvatski	hr
Upper Sorbian	hornjoserbsce	hsb
Haitian	Kreyòl ayisyen	ht
Hungarian	magyar	hu
