Date	Source	Country	Strength	Sentiment	Passion	Reach
6/19/2016	blogs	Afghanistan	6	2:01	0	3
6/19/2016	microblogs	Afghanistan	NA	NA	NA	NA
6/19/2016	bookmarks	Afghanistan	38	1:03	15	32
6/19/2016	images	Afghanistan	67	1:00	66	18
6/19/2016	all	Afghanistan	64	1:01	29	44
6/19/2016	blogs	Albania	NA	NA	NA	NA
6/19/2016	microblogs	Albania	100	4:01	2	188
6/19/2016	bookmarks	Albania	38	9:01	10	34
6/19/2016	images	Albania	100	0:01	72	40
6/19/2016	all	Albania	51	2:01	57	22
6/19/2016	blogs	Algeria	5	1:00	0	5
6/19/2016	microblogs	Algeria	100	28:01:00	10	176
6/19/2016	bookmarks	Algeria	24	6:01	15	34
6/19/2016	images	Algeria	100	6:00	97	3
6/19/2016	all	Algeria	85	20:01	50	44
6/19/2016	blogs	Andorra	4	2:00	25	3
6/19/2016	microblogs	Andorra	NA	NA	NA	NA
6/19/2016	bookmarks	Andorra	8	6:01	27	26
6/19/2016	images	Andorra	74	0:00	71	11
6/19/2016	all	Andorra	24	8:01	55	14
6/19/2016	blogs	Angola	2	1:02	0	2
6/19/2016	microblogs	Angola	100	1:05	16	110
6/19/2016	bookmarks	Angola	10	5:01	11	30
6/19/2016	images	Angola	90	0:00	69	21
6/19/2016	all	Angola	38	2:01	56	19
6/19/2016	blogs	Antigua and Barbuda	4	1:00	0	4
6/19/2016	microblogs	Antigua and Barbuda	100	1:00	7	106
6/19/2016	bookmarks	Antigua and Barbuda	4	1:00	0	6
6/19/2016	images	Antigua and Barbuda	100	2:00	78	44
6/19/2016	all	Antigua and Barbuda	81	5:00	50	40
6/19/2016	blogs	Argentina	12	1:02	0	1
6/19/2016	microblogs	Argentina	100	1:01	0	194
6/19/2016	bookmarks	Argentina	42	1:01	9	38
6/19/2016	images	Argentina	100	0:00	53	46
6/19/2016	all	Argentina	92	1:02	24	66
6/19/2016	blogs	Armenia	2	1:00	0	2
6/19/2016	microblogs	Armenia	100	1:01	17	146
6/19/2016	bookmarks	Armenia	10	2:01	7	26
6/19/2016	images	Armenia	96	0:00	84	14
6/19/2016	all	Armenia	66	2:01	73	20
6/19/2016	blogs	Australia	5	1:02	0	1
6/19/2016	microblogs	Australia	54	2:01	0	54
6/19/2016	bookmarks	Australia	34	1:01	5	32
6/19/2016	images	Australia	100	3:01	49	51
6/19/2016	all	Australia	64	1:01	33	42
6/19/2016	blogs	Austria	11	2:00	0	1
6/19/2016	microblogs	Austria	NA	NA	NA	NA
6/19/2016	bookmarks	Austria	44	4:01	9	40
6/19/2016	images	Austria	100	2:01	60	40
6/19/2016	all	Austria	90	5:01	29	60
6/19/2016	blogs	Azerbaijan	17	6:00	0	7
6/19/2016	microblogs	Azerbaijan	100	10:00	12	156
6/19/2016	bookmarks	Azerbaijan	14	2:01	21	30
6/19/2016	images	Azerbaijan	100	0:00	79	20
6/19/2016	all	Azerbaijan	85	18:01	43	48
6/19/2016	blogs	Bahamas	6	5:01	0	0
6/19/2016	microblogs	Bahamas	100	12:01	4	182
6/19/2016	bookmarks	Bahamas	12	5:01	6	30
6/19/2016	images	Bahamas	100	1:00	38	116
6/19/2016	all	Bahamas	100	7:01	20	82
6/19/2016	blogs	Bahrain	2	1:00	0	2
6/19/2016	microblogs	Bahrain	100	4:00	18	128
6/19/2016	bookmarks	Bahrain	14	5:00	5	38
6/19/2016	images	Bahrain	100	1:00	77	22
6/19/2016	all	Bahrain	54	7:00	64	22
6/19/2016	blogs	Bangladesh	6	1:01	0	3
6/19/2016	microblogs	Bangladesh	NA	NA	NA	NA
6/19/2016	bookmarks	Bangladesh	42	3:00	33	28
6/19/2016	images	Bangladesh	71	2:00	56	22
6/19/2016	all	Bangladesh	39	5:01	47	20
6/19/2016	blogs	Barbados	6	1:01	0	4
6/19/2016	microblogs	Barbados	NA	NA	NA	NA
6/19/2016	bookmarks	Barbados	12	3:01	19	34
6/19/2016	images	Barbados	100	1:00	62	37
6/19/2016	all	Barbados	84	7:01	31	61
6/19/2016	blogs	Belarus	8	0:00	75	2
6/19/2016	microblogs	Belarus	NA	NA	NA	NA
6/19/2016	bookmarks	Belarus	18	5:00	15	34
6/19/2016	images	Belarus	100	0:00	88	11
6/19/2016	all	Belarus	74	3:01	56	34
6/19/2016	blogs	Belgium	6	2:01	0	1
6/19/2016	microblogs	Belgium	100	11:01	3	172
6/19/2016	bookmarks	Belgium	38	4:01	10	34
6/19/2016	images	Belgium	100	1:00	73	54
6/19/2016	all	Belgium	86	6:01	36	53
6/19/2016	blogs	Belize	5	2:01	0	4
6/19/2016	microblogs	Belize	NA	NA	NA	NA
6/19/2016	bookmarks	Belize	2	1:01	12	28
6/19/2016	images	Belize	87	3:00	63	31
6/19/2016	all	Belize	46	2:01	53	25
6/19/2016	blogs	Benin	3	1:00	0	3
6/19/2016	microblogs	Benin	NA	NA	NA	NA
6/19/2016	bookmarks	Benin	2	5:00	0	16
6/19/2016	images	Benin	100	0:00	36	58
6/19/2016	all	Benin	48	6:00	32	35
6/19/2016	blogs	Bhutan	2	2:00	0	2
6/19/2016	microblogs	Bhutan	100	9:00	17	156
6/19/2016	bookmarks	Bhutan	8	6:01	9	40
6/19/2016	images	Bhutan	79	2:00	82	13
6/19/2016	all	Bhutan	70	12:01	40	46
6/19/2016	blogs	Bolivia	7	1:00	0	3
6/19/2016	microblogs	Bolivia	100	0:00	13	164
6/19/2016	bookmarks	Bolivia	16	4:01	15	32
6/19/2016	images	Bolivia	46	1:00	69	13
6/19/2016	all	Bolivia	62	5:01	27	47
6/19/2016	blogs	Bosnia and Herzegovina	0	1:00	0	0
6/19/2016	microblogs	Bosnia and Herzegovina	NA	NA	NA	NA
6/19/2016	bookmarks	Bosnia and Herzegovina	26	6:01	14	36
6/19/2016	images	Bosnia and Herzegovina	100	1:00	62	60
6/19/2016	all	Bosnia and Herzegovina	95	15:01	34	65
6/19/2016	blogs	Botswana	4	1:04	25	3
6/19/2016	microblogs	Botswana	100	4:01	28	140
6/19/2016	bookmarks	Botswana	8	1:01	10	36
6/19/2016	images	Botswana	94	1:00	61	35
6/19/2016	all	Botswana	79	2:01	40	51
6/19/2016	blogs	Brazil	8	2:00	20	4
6/19/2016	microblogs	Brazil	100	6:01	8	174
6/19/2016	bookmarks	Brazil	38	2:01	10	34
6/19/2016	images	Brazil	100	0:00	31	128
6/19/2016	all	Brazil	61	2:01	27	43
6/19/2016	blogs	Brunei	NA	NA	NA	NA
6/19/2016	microblogs	Brunei	100	7:01	6	178
6/19/2016	bookmarks	Brunei	20	1:01	33	24
6/19/2016	images	Brunei	100	0:00	73	48
6/19/2016	all	Brunei	99	3:01	37	64
6/19/2016	blogs	Bulgaria	2	3:00	0	2
6/19/2016	microblogs	Bulgaria	100	5:00	7	166
6/19/2016	bookmarks	Bulgaria	34	7:01	0	34
6/19/2016	images	Bulgaria	77	2:00	53	31
6/19/2016	all	Bulgaria	70	17:01	24	54
6/19/2016	blogs	Burkina	8	1:00	0	8
6/19/2016	microblogs	Burkina	100	1:01	15	164
6/19/2016	bookmarks	Burkina	4	5:01	0	16
6/19/2016	images	Burkina	98	0:00	63	35
6/19/2016	all	Burkina	100	3:01	37	65
6/19/2016	blogs	Burundi	3	2:00	33	2
6/19/2016	microblogs	Burundi	NA	NA	NA	NA
6/19/2016	bookmarks	Burundi	2	2:01	10	18
6/19/2016	images	Burundi	100	2:00	62	54
6/19/2016	all	Burundi	68	15:01	48	37
6/19/2016	blogs	Cambodia	3	1:01	0	2
6/19/2016	microblogs	Cambodia	100	18:00	6	164
6/19/2016	bookmarks	Cambodia	26	3:01	0	40
6/19/2016	images	Cambodia	100	0:00	97	6
6/19/2016	all	Cambodia	82	6:01	49	43
6/19/2016	blogs	Cameroon	3	0:00	0	3
6/19/2016	microblogs	Cameroon	100	3:01	18	114
6/19/2016	bookmarks	Cameroon	10	12:01	30	28
6/19/2016	images	Cameroon	100	1:00	34	126
6/19/2016	all	Cameroon	70	5:01	28	55
6/19/2016	blogs	Canada	8	2:01	0	4
6/19/2016	microblogs	Canada	100	7:01	5	134
6/19/2016	bookmarks	Canada	34	3:01	0	34
6/19/2016	images	Canada	100	2:00	59	41
6/19/2016	all	Canada	63	3:01	48	31
6/19/2016	blogs	Cape Verde	7	0:01	14	6
6/19/2016	microblogs	Cape Verde	100	24:01:00	8	162
