"Date"	"Source"	"Term"	"Strength"	"Sentiment"	"Passion"	"Reach"
2016-06-27	"blogs"	"Afghanistan"	"12"	"2:1"	"0"	"0"
2016-06-27	"microblogs"	"Afghanistan"	"100"	"3:1"	"24"	"130"
2016-06-27	"bookmarks"	"Afghanistan"	"36"	"0:8"	"33"	"24"
2016-06-27	"images"	"Afghanistan"	"67"	"1:0"	"66"	"18"
2016-06-27	"all"	"Afghanistan"	"68"	"1:1"	"39"	"38"
2016-06-27	"blogs"	"Albania"	"7"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Albania"	"100"	"2:1"	"4"	"178"
2016-06-27	"bookmarks"	"Albania"	"18"	"8:1"	"10"	"34"
2016-06-27	"images"	"Albania"	"100"	"0:1"	"72"	"40"
2016-06-27	"all"	"Albania"	"62"	"3:1"	"31"	"43"
2016-06-27	"blogs"	"Algeria"	"8"	"1:1"	"33"	"2"
2016-06-27	"microblogs"	"Algeria"	"80"	"2:0"	"5"	"76"
2016-06-27	"bookmarks"	"Algeria"	"10"	"3:1"	"23"	"26"
2016-06-27	"images"	"Algeria"	"100"	"6:0"	"97"	"3"
2016-06-27	"all"	"Algeria"	"47"	"5:1"	"85"	"8"
2016-06-27	"blogs"	"Andorra"	"4"	"3:0"	"0"	"0"
2016-06-27	"microblogs"	"Andorra"	"100"	"3:0"	"3"	"190"
2016-06-27	"bookmarks"	"Andorra"	"8"	"1:1"	"33"	"28"
2016-06-27	"images"	"Andorra"	"74"	"0:0"	"71"	"11"
2016-06-27	"all"	"Andorra"	"58"	"2:1"	"24"	"48"
2016-06-27	"blogs"	"Angola"	"7"	"2:1"	"0"	"0"
2016-06-27	"microblogs"	"Angola"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Angola"	"30"	"6:1"	"28"	"30"
2016-06-27	"images"	"Angola"	"90"	"0:0"	"69"	"21"
2016-06-27	"all"	"Angola"	"72"	"4:1"	"32"	"48"
2016-06-27	"blogs"	"Antigua and Barbuda"	"2"	"1:0"	"0"	"1"
2016-06-27	"microblogs"	"Antigua and Barbuda"	"9"	"2:1"	"16"	"13"
2016-06-27	"bookmarks"	"Antigua and Barbuda"	"9"	"2:1"	"16"	"13"
2016-06-27	"images"	"Antigua and Barbuda"	"9"	"2:1"	"16"	"13"
2016-06-27	"all"	"Antigua and Barbuda"	"9"	"2:1"	"16"	"13"
2016-06-27	"blogs"	"Argentina"	"14"	"1:1"	"0"	"2"
2016-06-27	"microblogs"	"Argentina"	"100"	"3:0"	"2"	"180"
2016-06-27	"bookmarks"	"Argentina"	"40"	"5:1"	"0"	"40"
2016-06-27	"images"	"Argentina"	"100"	"0:0"	"53"	"46"
2016-06-27	"all"	"Argentina"	"56"	"2:1"	"42"	"28"
2016-06-27	"blogs"	"Armenia"	"18"	"1:3"	"0"	"0"
2016-06-27	"microblogs"	"Armenia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Armenia"	"40"	"1:1"	"15"	"34"
2016-06-27	"images"	"Armenia"	"64"	"0:0"	"83"	"10"
2016-06-27	"all"	"Armenia"	"65"	"1:2"	"72"	"16"
2016-06-27	"blogs"	"Australia"	"11"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Australia"	"68"	"4:1"	"5"	"64"
2016-06-27	"bookmarks"	"Australia"	"36"	"12:1"	"0"	"36"
2016-06-27	"images"	"Australia"	"100"	"3:1"	"49"	"51"
2016-06-27	"all"	"Australia"	"52"	"4:1"	"35"	"31"
2016-06-27	"blogs"	"Austria"	"10"	"4:1"	"0"	"3"
2016-06-27	"microblogs"	"Austria"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Austria"	"40"	"9:1"	"0"	"40"
2016-06-27	"images"	"Austria"	"100"	"2:1"	"60"	"40"
2016-06-27	"all"	"Austria"	"54"	"5:1"	"48"	"26"
2016-06-27	"blogs"	"Azerbaijan"	"8"	"2:0"	"0"	"0"
2016-06-27	"microblogs"	"Azerbaijan"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Azerbaijan"	"6"	"3:0"	"33"	"24"
2016-06-27	"images"	"Azerbaijan"	"100"	"0:0"	"79"	"20"
